title,price,rating,review
"REDMI A2 (Classic Black, 64 GB) (2 GB RAM)","5,299",4.2,"8,509 Ratings - 485 Reviews"
"Motorola e13 (Cosmic Black, 128 GB) (8 GB RAM)","7,499",4.1,"30,137 Ratings - 1,857 Reviews"
"REDMI 13C (Starshine Green, 128 GB) (4 GB RAM)","7,799",4.3,"2,902 Ratings - 197 Reviews"
"REDMI A2 (Aqua Blue, 64 GB) (2 GB RAM)","5,299",4.2,"8,509 Ratings - 485 Reviews"
"POCO M6 5G (Galactic Black, 128 GB) (6 GB RAM)","10,499",4.3,"9,022 Ratings - 581 Reviews"
"POCO M6 Pro 5G (Forest Green, 256 GB) (8 GB RAM)","12,999",4.2,"9,420 Ratings - 835 Reviews"
"realme C53 (Champion Black, 128 GB) (4 GB RAM)","8,999",4.1,"19,930 Ratings - 1,416 Reviews"
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB) (6 GB RAM)","14,499",4.3,"1,292 Ratings - 165 Reviews"
"MOTOROLA g24 Power (Ink blue, 128 GB) (4 GB RAM)","7,999",4.2,"1,583 Ratings - 187 Reviews"
"Motorola g54 5G (Mint Green, 256 GB) (12 GB RAM)","15,999",4.2,"65,509 Ratings - 6,221 Reviews"
"REDMI 13C (Stardust Black, 128 GB) (6 GB RAM)","8,799",4.2,"1,440 Ratings - 86 Reviews"
"REDMI A2 (Sea Green, 64 GB) (2 GB RAM)","5,299",4.2,"8,509 Ratings - 485 Reviews"
"REDMI 12 5G (Jade Black, 128 GB) (6 GB RAM)","12,999",4.3,"23,214 Ratings - 1,524 Reviews"
"vivo T2x 5G (Black Gladiator, 128 GB) (8 GB RAM)","14,999",4.3,"65,326 Ratings - 3,956 Reviews"
"Motorola G34 5G (Ice Blue, 128 GB) (4 GB RAM)","10,999",4.2,"15,185 Ratings - 1,600 Reviews"
"POCO M6 Pro 5G (Power Black, 128 GB) (6 GB RAM)","11,499",4.3,"74,158 Ratings - 5,060 Reviews"
"REDMI 13C (Starshine Green, 128 GB) (6 GB RAM)","8,799",4.2,"1,440 Ratings - 86 Reviews"
